filename	scene_label	X	X
audio/street_pedestrian-lyon-162-4093-a.wav	street_pedestrian	X	X
audio/metro-prague-163-4094-a.wav	metro	X	X
audio/park-milan-164-4095-a.wav	park	X	X
audio/street_pedestrian-milan-165-4096-a.wav	street_pedestrian	X	X
audio/street_traffic-milan-166-4097-a.wav	street_traffic	X	X
audio/metro_station-lyon-167-4098-a.wav	metro_station	X	X
audio/public_square-milan-168-4099-a.wav	public_square	X	X
audio/airport-lyon-169-4100-a.wav	airport	X	X
audio/metro_station-prague-170-4101-a.wav	metro_station	X	X
audio/street_traffic-lisbon-171-4102-a.wav	street_traffic	X	X
audio/airport-milan-172-4103-a.wav	airport	X	X
audio/airport-prague-173-4104-a.wav	airport	X	X
audio/street_pedestrian-lisbon-174-4105-a.wav	street_pedestrian	X	X
audio/airport-lisbon-175-4106-a.wav	airport	X	X
audio/metro_station-lyon-167-4107-a.wav	metro_station	X	X
audio/shopping_mall-lisbon-176-4108-a.wav	shopping_mall	X	X
audio/bus-lyon-177-4109-a.wav	bus	X	X
audio/public_square-lyon-178-4110-a.wav	public_square	X	X
audio/metro_station-lyon-179-4111-a.wav	metro_station	X	X
audio/street_pedestrian-lyon-162-4112-a.wav	street_pedestrian	X	X
audio/metro_station-lyon-167-4113-a.wav	metro_station	X	X
audio/street_pedestrian-milan-165-4114-a.wav	street_pedestrian	X	X
audio/bus-milan-180-4115-a.wav	bus	X	X
audio/metro-lyon-181-4116-a.wav	metro	X	X
audio/tram-milan-182-4117-a.wav	tram	X	X
audio/shopping_mall-milan-183-4118-a.wav	shopping_mall	X	X
audio/tram-prague-184-4119-a.wav	tram	X	X
audio/park-prague-185-4120-a.wav	park	X	X
audio/park-milan-164-4121-a.wav	park	X	X
audio/bus-lyon-186-4122-a.wav	bus	X	X
audio/metro_station-milan-187-4123-a.wav	metro_station	X	X
audio/park-lyon-188-4124-a.wav	park	X	X
audio/tram-prague-189-4125-a.wav	tram	X	X
audio/airport-milan-172-4126-a.wav	airport	X	X
audio/airport-lyon-169-4127-a.wav	airport	X	X
audio/street_pedestrian-lisbon-174-4128-a.wav	street_pedestrian	X	X
audio/bus-lyon-177-4129-a.wav	bus	X	X
audio/street_pedestrian-lyon-162-4130-a.wav	street_pedestrian	X	X
audio/park-milan-164-4131-a.wav	park	X	X
audio/bus-milan-190-4132-a.wav	bus	X	X
audio/tram-lisbon-191-4133-a.wav	tram	X	X
audio/public_square-prague-192-4134-a.wav	public_square	X	X
audio/street_traffic-prague-193-4135-a.wav	street_traffic	X	X
audio/bus-prague-194-4136-a.wav	bus	X	X
audio/park-prague-185-4137-a.wav	park	X	X
audio/park-lyon-188-4138-a.wav	park	X	X
audio/public_square-prague-192-4139-a.wav	public_square	X	X
audio/bus-lyon-186-4140-a.wav	bus	X	X
audio/tram-prague-184-4141-a.wav	tram	X	X
audio/airport-prague-195-4142-a.wav	airport	X	X
audio/shopping_mall-lyon-196-4143-a.wav	shopping_mall	X	X
audio/shopping_mall-lyon-196-4144-a.wav	shopping_mall	X	X
audio/metro-milan-197-4145-a.wav	metro	X	X
audio/metro-lyon-181-4146-a.wav	metro	X	X
audio/park-lisbon-198-4147-a.wav	park	X	X
audio/metro-prague-163-4148-a.wav	metro	X	X
audio/airport-prague-195-4149-a.wav	airport	X	X
audio/metro-lisbon-199-4150-a.wav	metro	X	X
audio/street_pedestrian-milan-165-4151-a.wav	street_pedestrian	X	X
audio/tram-lisbon-200-4152-a.wav	tram	X	X
audio/shopping_mall-milan-183-4153-a.wav	shopping_mall	X	X
audio/metro_station-lyon-167-4154-a.wav	metro_station	X	X
audio/shopping_mall-milan-183-4155-a.wav	shopping_mall	X	X
audio/street_pedestrian-milan-165-4156-a.wav	street_pedestrian	X	X
audio/metro_station-lyon-179-4157-a.wav	metro_station	X	X
audio/metro-lyon-201-4158-a.wav	metro	X	X
audio/bus-lyon-177-4159-a.wav	bus	X	X
audio/street_traffic-milan-202-4160-a.wav	street_traffic	X	X
audio/park-lyon-188-4161-a.wav	park	X	X
audio/park-milan-164-4162-a.wav	park	X	X
audio/street_traffic-prague-193-4163-a.wav	street_traffic	X	X
audio/street_pedestrian-prague-203-4164-a.wav	street_pedestrian	X	X
audio/metro-prague-204-4165-a.wav	metro	X	X
audio/shopping_mall-lisbon-176-4166-a.wav	shopping_mall	X	X
audio/metro_station-lyon-179-4167-a.wav	metro_station	X	X
audio/metro-lyon-181-4168-a.wav	metro	X	X
audio/airport-prague-195-4169-a.wav	airport	X	X
audio/park-lisbon-198-4170-a.wav	park	X	X
audio/street_pedestrian-milan-205-4171-a.wav	street_pedestrian	X	X
audio/metro-lyon-206-4172-a.wav	metro	X	X
audio/metro_station-lyon-179-4173-a.wav	metro_station	X	X
audio/street_pedestrian-lisbon-174-4174-a.wav	street_pedestrian	X	X
audio/bus-prague-207-4175-a.wav	bus	X	X
audio/street_traffic-lisbon-171-4176-a.wav	street_traffic	X	X
audio/metro_station-milan-187-4177-a.wav	metro_station	X	X
audio/bus-lyon-177-4178-a.wav	bus	X	X
audio/street_pedestrian-lisbon-174-4179-a.wav	street_pedestrian	X	X
audio/public_square-lyon-208-4180-a.wav	public_square	X	X
audio/metro_station-lyon-179-4181-a.wav	metro_station	X	X
audio/bus-milan-180-4182-a.wav	bus	X	X
audio/tram-milan-209-4183-a.wav	tram	X	X
audio/tram-prague-210-4184-a.wav	tram	X	X
audio/street_pedestrian-lyon-162-4185-a.wav	street_pedestrian	X	X
audio/airport-lisbon-175-4186-a.wav	airport	X	X
audio/park-prague-185-4187-a.wav	park	X	X
audio/park-milan-164-4188-a.wav	park	X	X
audio/bus-milan-180-4189-a.wav	bus	X	X
audio/public_square-lisbon-211-4190-a.wav	public_square	X	X
audio/tram-prague-210-4191-a.wav	tram	X	X
audio/street_traffic-lisbon-171-4192-a.wav	street_traffic	X	X
audio/public_square-lyon-178-4193-a.wav	public_square	X	X
audio/street_pedestrian-lyon-162-4194-a.wav	street_pedestrian	X	X
audio/street_pedestrian-milan-165-4195-a.wav	street_pedestrian	X	X
audio/metro-lyon-201-4196-a.wav	metro	X	X
audio/public_square-lyon-178-4197-a.wav	public_square	X	X
audio/tram-lisbon-191-4198-a.wav	tram	X	X
audio/metro-prague-204-4199-a.wav	metro	X	X
audio/public_square-prague-192-4200-a.wav	public_square	X	X
audio/street_traffic-milan-202-4201-a.wav	street_traffic	X	X
audio/metro-prague-163-4202-a.wav	metro	X	X
audio/park-prague-185-4203-a.wav	park	X	X
audio/tram-milan-182-4204-a.wav	tram	X	X
audio/airport-milan-172-4205-a.wav	airport	X	X
audio/bus-lisbon-212-4206-a.wav	bus	X	X
audio/street_traffic-milan-166-4207-a.wav	street_traffic	X	X
audio/street_pedestrian-prague-203-4208-a.wav	street_pedestrian	X	X
audio/bus-milan-190-4209-a.wav	bus	X	X
audio/airport-lisbon-175-4210-a.wav	airport	X	X
audio/public_square-lyon-208-4211-a.wav	public_square	X	X
audio/metro-prague-213-4212-a.wav	metro	X	X
audio/shopping_mall-milan-183-4213-a.wav	shopping_mall	X	X
audio/public_square-prague-214-4214-a.wav	public_square	X	X
audio/airport-milan-172-4215-a.wav	airport	X	X
audio/public_square-milan-168-4216-a.wav	public_square	X	X
audio/metro-prague-213-4217-a.wav	metro	X	X
audio/airport-prague-195-4218-a.wav	airport	X	X
audio/metro_station-prague-170-4219-a.wav	metro_station	X	X
audio/bus-prague-215-4220-a.wav	bus	X	X
audio/park-prague-185-4221-a.wav	park	X	X
audio/street_pedestrian-prague-203-4222-a.wav	street_pedestrian	X	X
audio/shopping_mall-milan-183-4223-a.wav	shopping_mall	X	X
audio/metro_station-milan-187-4224-a.wav	metro_station	X	X
audio/street_traffic-milan-166-4225-a.wav	street_traffic	X	X
audio/shopping_mall-milan-183-4226-a.wav	shopping_mall	X	X
audio/airport-lyon-169-4227-a.wav	airport	X	X
audio/park-lisbon-198-4228-a.wav	park	X	X
audio/metro_station-lyon-167-4229-a.wav	metro_station	X	X
audio/metro_station-lyon-179-4230-a.wav	metro_station	X	X
audio/metro-milan-197-4231-a.wav	metro	X	X
audio/public_square-lyon-178-4232-a.wav	public_square	X	X
audio/airport-lisbon-175-4233-a.wav	airport	X	X
audio/park-prague-185-4234-a.wav	park	X	X
audio/street_traffic-prague-193-4235-a.wav	street_traffic	X	X
audio/tram-prague-210-4236-a.wav	tram	X	X
audio/tram-lisbon-191-4237-a.wav	tram	X	X
audio/park-milan-164-4238-a.wav	park	X	X
audio/metro_station-milan-187-4239-a.wav	metro_station	X	X
audio/metro-prague-204-4240-a.wav	metro	X	X
audio/tram-lisbon-191-4241-a.wav	tram	X	X
audio/shopping_mall-lisbon-176-4242-a.wav	shopping_mall	X	X
audio/street_pedestrian-lisbon-174-4243-a.wav	street_pedestrian	X	X
audio/street_pedestrian-milan-205-4244-a.wav	street_pedestrian	X	X
audio/park-lisbon-198-4245-a.wav	park	X	X
audio/street_traffic-lisbon-171-4246-a.wav	street_traffic	X	X
audio/public_square-lisbon-211-4247-a.wav	public_square	X	X
audio/public_square-milan-168-4248-a.wav	public_square	X	X
